Date,Check#,Transaction Type,Description,Debits(-),Credits(+)
02/18/2025,,DEBIT,"Generic Purchase - Item A",$-27.54,,
02/18/2025,,DEBIT,"Generic Purchase - Item B",$-33.12,,
02/18/2025,,DEBIT,"Generic Purchase - Item C",$-255.91,,
02/18/2025,,DEBIT,"Generic Purchase - Item D",$-111.47,,
02/18/2025,,DEBIT,"Generic Purchase - Item E",$-162.22,,
02/18/2025,,DEBIT,"Generic Payment - Service A",$-1298.15,,
02/14/2025,,DEBIT,"Generic Transfer - Account A",$-144.89,,
02/14/2025,,DEBIT,"Generic Transfer - Account B",$-1021.55,,
02/14/2025,,CREDIT,"Generic Deposit - Source A",,$72.55,
02/14/2025,,CREDIT,"Generic Deposit - Source B",,$5899.28,
02/12/2025,,CREDIT,"Generic Income - Source C",,$451.77,
02/11/2025,,DEBIT,"Generic Purchase - Item F",$-29.11,,
02/11/2025,,DEBIT,"Generic Purchase - Item G",$-34.99,,
02/11/2025,,DEBIT,"Generic Purchase - Item H",$-108.53,,
02/11/2025,,DEBIT,"Generic Purchase - Item I",$-144.02,,
02/11/2025,,DEBIT,"Generic Purchase - Item J",$-315.78,,
02/07/2025,,DEBIT,"Generic Transfer - Account C",$-166.29,,
02/07/2025,,DEBIT,"Generic Transfer - Account D",$-1255.82,,
02/04/2025,,DEBIT,"Generic Purchase - Item K",$-31.88,,
02/04/2025,,DEBIT,"Generic Purchase - Item L",$-28.45,,
02/04/2025,,DEBIT,"Generic Purchase - Item M",$-115.99,,
02/04/2025,,DEBIT,"Generic Purchase - Item N",$-160.17,,
02/04/2025,,DEBIT,"Generic Purchase - Item O",$-288.50,,
02/03/2025,,DEBIT,"Generic Payment - Service B",$-8.15,,
01/31/2025,,CREDIT,"Generic Income - Source D",,$5.22,
01/31/2025,,DEBIT,"Generic Transfer - Account E",$-185.41,,
01/31/2025,,DEBIT,"Generic Transfer - Account F",$-1150.33,,
01/31/2025,,CREDIT,"Generic Income - Source E",,$165.88,
